root@lamp-ubuntu-s-1vcpu-1gb-tor1-01:~# tcpdump -i eth0 dst 198.211.111.194
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
06:09:23.593047 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.211.111.194.36055: Flags [P.], seq 4400:4464, ack 1, win 501, options [nop,nop,TS val 3589594322 ecr 1478113137], length 64
06:09:23.593086 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.211.111.194.36055: Flags [P.], seq 4464:4704, ack 1, win 501, options [nop,nop,TS val 3589594322 ecr 1478113137], length 240
06:09:23.593120 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.211.111.194.36055: Flags [P.], seq 4704:4768, ack 1, win 501, options [nop,nop,TS val 3589594322 ecr 1478113137], length 64
06:09:23.593158 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.211.111.194.36055: Flags [P.], seq 4768:5008, ack 1, win 501, options [nop,nop,TS val 3589594322 ecr 1478113137], length 240
06:09:23.593185 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.211.111.194.36055: Flags [P.], seq 5008:5072, ack 1, win 501, options [nop,nop,TS val 3589594323 ecr 1478113137], length 64
06:09:23.593223 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.211.111.194.36055: Flags [P.], seq 5072:5312, ack 1, win 501, options [nop,nop,TS val 3589594323 ecr 1478113137], length 240
06:09:23.593264 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.211.111.194.36055: Flags [P.], seq 5312:5376, ack 1, win 501, options [nop,nop,TS val 3589594323 ecr 1478113137], length 64
06:09:23.593299 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.211.111.194.36055: Flags [P.], seq 5376:5616, ack 1, win 501, options [nop,nop,TS val 3589594323 ecr 1478113137], length 240
06:09:23.593343 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.211.111.194.36055: Flags [P.], seq 5616:5680, ack 1, win 501, options [nop,nop,TS val 3589594323 ecr 1478113137], length 64
06:09:23.696417 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.211.111.194.36055: Flags [P.], seq 5680:5920, ack 1, win 501, options [nop,nop,TS val 3589594426 ecr 1478113238], length 240
06:09:23.696502 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.211.111.194.36055: Flags [P.], seq 5920:6224, ack 1, win 501, options [nop,nop,TS val 3589594426 ecr 1478113238], length 304
06:09:23.696584 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.211.111.194.36055: Flags [P.], seq 6224:6592, ack 1, win 501, options [nop,nop,TS val 3589594426 ecr 1478113238], length 368
06:09:23.696624 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.211.111.194.36055: Flags [P.], seq 6592:6832, ack 1, win 501, options [nop,nop,TS val 3589594426 ecr 1478113238], length 240
06:09:23.696672 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.211.111.194.36055: Flags [P.], seq 6832:6896, ack 1, win 501, options [nop,nop,TS val 3589594426 ecr 1478113238], length 64
06:09:23.696747 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.211.111.194.36055: Flags [P.], seq 6896:7136, ack 1, win 501, options [nop,nop,TS val 3589594426 ecr 1478113238], length 240
06:09:23.696779 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.211.111.194.36055: Flags [P.], seq 7136:7200, ack 1, win 501, options [nop,nop,TS val 3589594426 ecr 1478113238], length 64
06:09:23.696821 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.211.111.194.36055: Flags [P.], seq 7200:7440, ack 1, win 501, options [nop,nop,TS val 3589594426 ecr 1478113238], length 240
06:09:23.696850 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.211.111.194.36055: Flags [P.], seq 7440:7504, ack 1, win 501, options [nop,nop,TS val 3589594426 ecr 1478113238], length 64
06:09:23.696887 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.211.111.194.36055: Flags [P.], seq 7504:7744, ack 1, win 501, options [nop,nop,TS val 3589594426 ecr 1478113238], length 240
06:09:23.696939 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.211.111.194.36055: Flags [P.], seq 7744:8048, ack 1, win 501, options [nop,nop,TS val 3589594426 ecr 1478113238], length 304
06:09:23.697001 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.211.111.194.36055: Flags [P.], seq 8048:8352, ack 1, win 501, options [nop,nop,TS val 3589594426 ecr 1478113238], length 304
06:09:23.697081 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.211.111.194.36055: Flags [P.], seq 8352:8720, ack 1, win 501, options [nop,nop,TS val 3589594426 ecr 1478113238], length 368
